class,precision,recall,f1-score,support
Dovish,0.5683453237410072,0.6220472440944882,0.5939849624060151,127.0
Hawkish,0.65,0.5241935483870968,0.5803571428571429,124.0
Neutral,0.7046413502109705,0.7422222222222222,0.7229437229437229,225.0
macro avg,0.6409955579839925,0.6294876715679357,0.6324286094022936,476.0
weighted avg,0.6540423527575132,0.6533613445378151,0.65139225546678,476.0
