class,precision,recall,f1-score,support
Dovish,0.632,0.6220472440944882,0.626984126984127,127.0
Hawkish,0.5664335664335665,0.6532258064516129,0.6067415730337079,124.0
Neutral,0.7548076923076923,0.6977777777777778,0.7251732101616628,225.0
macro avg,0.6510804195804195,0.6576836094412929,0.652966303393166,476.0
weighted avg,0.6729695231239349,0.6659663865546218,0.6681237635914665,476.0
