model_name,accuracy_mean,accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,dovish_f1_mean,dovish_f1_std,hawkish_f1_mean,hawkish_f1_std,neutral_f1_mean,neutral_f1_std,training_seconds_mean,training_seconds_std,inference_seconds_mean,inference_seconds_std
direction_retrieval_augmented,0.5462184873949579,0.03274885980697458,0.5435803563176683,0.03259432722672231,0.5126529423624887,0.035689848505261065,0.4223085460599334,0.07780393775322518,0.4638616245136187,0.023488325018981022,0.651788656513914,0.016334206331916575,6.124205233332759,0.6487815866112634,0.7304370666655208,0.029318951087511293
hdar_ensemble_augmented,0.5427170868347339,0.035237382704227244,0.5411637332243796,0.037185263829388776,0.5102101359681868,0.041563354611736714,0.4196213245992451,0.08680679122085469,0.4616272337403499,0.028600857024936754,0.6493818495649654,0.016209172104523873,13.133991933330739,0.40967448888752334,1.4425525666641381,0.08165796912964067
hdar_augmented,0.5217086834733894,0.041452797162321385,0.5166107383739739,0.03932845989539345,0.4841450909450791,0.0413630887709962,0.3969082388200036,0.08244998529680485,0.4258241176669828,0.006747567614233645,0.6297029163482508,0.0429276020655041,6.249020233335614,0.27482661649246676,0.7583808000005471,0.10063494323244596
hierarchical_direction_raw,0.5252100840336135,0.03935923108234284,0.5135897867597584,0.03629156521032803,0.4756427790745881,0.036361494386186015,0.35583631546364464,0.05273367246231442,0.4264875457519515,0.03169826426026864,0.6446044760081681,0.03514105555559435,2.2273185666660233,0.04552400345293842,0.7677030333337219,0.22468026192105053
hierarchical_direction_augmented,0.5238095238095238,0.03932183512987803,0.5122717615026022,0.03622692702983225,0.47446232885570566,0.036385784691182047,0.35830498218749,0.05148695906546106,0.4217500410422383,0.03341307797152124,0.6433319633373885,0.032369591312159524,6.624522066667851,0.34882810057216324,0.6681389666676599,0.15153626668757647
tfidf_logistic_regression,0.5203081232492996,0.0508704219150252,0.5112542149681422,0.04459706380948125,0.4819107622972416,0.05773188712566945,0.4094804756516388,0.08338024858359436,0.42455157492123363,0.09327789486174294,0.6117002363188524,0.04346085965535172,0.28994393333414337,0.05610469229943051,0.0014335666686141242,0.0010322466848667492
tfidf_linear_svm,0.5063025210084033,0.03534160470853093,0.5109625681415719,0.03318766521185814,0.4929706614793051,0.04114875672287072,0.4427033756773769,0.05248457337000286,0.4639124188249976,0.05824567881544464,0.5722961899355408,0.013490173952337283,0.26486366666601197,0.012636503309834627,0.0006951333343749866,3.33612502886595e-05
hierarchical_augmented,0.5049019607843137,0.031605837805032955,0.5010150740530301,0.023882068444473072,0.4713631563964726,0.020292821587104708,0.41262400999091864,0.036091998073932575,0.3953770247694604,0.02454518161574702,0.6060884344290386,0.04914921976327958,2.7342625666666813,0.19330515301977166,0.2080474999990353,0.015131281508835064
rule_based,0.5,0.009627259863352595,0.4991118882714705,0.0060023997272335376,0.46184595661340855,0.009480720331828472,0.4224620687809708,0.021906618498081194,0.33545534924845266,0.00851197633708848,0.6276204518108021,0.005273776281691346,0.0,0.0,0.016190500001054414,0.004504349344052575
stratified_random,0.3669467787114846,0.002425841467183325,0.36676092989485776,0.0029474415884095453,0.33887052161252024,0.00629500031554857,0.2822589285714286,0.00904084322953453,0.27100400042841316,0.031188312063157562,0.4633486358377188,0.010226126027437544,0.0,0.0,0.0,0.0
majority,0.48249299719887956,0.011945883829994395,0.3141230921864621,0.013055483125491749,0.21695430073709898,0.0036121319582524004,0.0,0.0,0.0,0.0,0.650862902211297,0.01083639587475722,0.0,0.0,0.0,0.0
