class,precision,recall,f1-score,support
Dovish,0.5675675675675675,0.7241379310344828,0.6363636363636364,116.0
Hawkish,0.6148648648648649,0.7338709677419355,0.6691176470588235,124.0
Neutral,0.8388888888888889,0.6398305084745762,0.7259615384615384,236.0
macro avg,0.6737737737737738,0.699279802416998,0.6771476072946662,476.0
weighted avg,0.714409367350544,0.6848739495798319,0.6893186830470567,476.0
