class,precision,recall,f1-score,support
Dovish,0.5563380281690141,0.6171875,0.5851851851851851,128.0
Hawkish,0.5911949685534591,0.7833333333333333,0.6738351254480287,120.0
Neutral,0.8057142857142857,0.618421052631579,0.6997518610421837,228.0
macro avg,0.6510824274789196,0.6729806286549707,0.6529240572251326,476.0
weighted avg,0.6845746238968614,0.6596638655462185,0.6624103846115231,476.0
