epoch,train_loss,val_loss,val_weighted_f1
1,1.066304,0.953189,0.54881
2,0.91397,0.822211,0.591424
3,0.675701,0.696431,0.707615
4,0.445924,0.828782,0.7113
5,0.305147,0.916118,0.682438
6,0.18309,1.032927,0.721504
7,0.129236,1.220725,0.695073
8,0.069316,1.435913,0.698255
