class,precision,recall,f1-score,support
Dovish,0.5859872611464968,0.71875,0.6456140350877193,128.0
Hawkish,0.6752136752136753,0.6583333333333333,0.6666666666666666,120.0
Neutral,0.7871287128712872,0.6973684210526315,0.7395348837209302,228.0
macro avg,0.6827765497438198,0.6914839181286548,0.6839385284917721,476.0
weighted avg,0.7048263802248868,0.6932773109243697,0.6959087184445382,476.0
