epoch,train_loss,val_loss,val_weighted_f1
1,1.070826,1.010827,0.314552
2,0.89227,0.841395,0.622027
3,0.677906,0.791335,0.687105
4,0.484086,0.895491,0.664447
5,0.311657,0.923953,0.691467
6,0.205023,1.056815,0.707444
7,0.120283,1.204106,0.72152
8,0.072844,1.46314,0.713525
9,0.048071,1.518285,0.70515
