class,precision,recall,f1-score,support
Dovish,0.6521739130434783,0.646551724137931,0.6493506493506493,116.0
Hawkish,0.6356589147286822,0.6612903225806451,0.6482213438735178,124.0
Neutral,0.7629310344827587,0.75,0.7564102564102564,236.0
macro avg,0.683587954084973,0.685947348906192,0.6846607498781413,476.0
weighted avg,0.7027848812548974,0.7016806722689075,0.702136433776916,476.0
